Subset size,10,11,12,13,14,15,16,17,18,19,20
Parallèle,"39,209507","6,103186","2,470905","2,104314","1,064126","1,030063","0,409618","0,67447","3,239604","2,10926","0,208376"
Séquentiel,"22,374272","3,504687","0,88945","4,377271","1,925745","2,895894","2,645222","2,31441","6,498912","1,151516","1,075548"
